time_s,temperature_C,pwm,direction
111.14,21.82,82,HEAT
111.67,21.9,82,HEAT
112.2,21.82,82,HEAT
112.72,21.82,82,HEAT
113.25,21.82,82,HEAT
113.77,21.82,82,HEAT
114.3,21.82,82,HEAT
114.82,21.82,82,HEAT
115.35,21.82,82,HEAT
115.87,21.82,82,HEAT
116.4,21.82,82,HEAT
116.93,21.82,82,HEAT
117.45,21.82,82,HEAT
117.98,21.82,82,HEAT
118.5,21.82,82,HEAT
119.03,21.82,82,HEAT
119.55,21.82,82,HEAT
120.08,21.9,82,HEAT
120.61,21.9,82,HEAT
121.13,21.82,82,HEAT
121.66,21.82,82,HEAT
122.18,21.82,82,HEAT
122.71,21.82,82,HEAT
123.23,21.82,82,HEAT
123.76,21.82,82,HEAT
124.28,21.9,82,HEAT
124.81,21.9,82,HEAT
125.34,21.82,82,HEAT
125.86,21.82,82,HEAT
126.39,21.9,82,HEAT
126.91,21.82,82,HEAT
127.44,21.82,82,HEAT
127.96,21.9,82,HEAT
128.49,21.82,82,HEAT
129.02,21.82,82,HEAT
129.54,21.82,82,HEAT
130.07,21.82,82,HEAT
130.59,21.82,82,HEAT
131.12,21.9,82,HEAT
131.64,21.82,82,HEAT
132.17,21.82,82,HEAT
132.7,21.82,82,HEAT
133.22,21.82,82,HEAT
133.75,21.82,82,HEAT
134.27,21.82,82,HEAT
134.8,21.82,82,HEAT
135.32,21.82,82,HEAT
135.85,21.82,82,HEAT
136.37,21.82,82,HEAT
136.9,21.82,82,HEAT
137.42,21.82,82,HEAT
137.95,21.82,82,HEAT
138.48,21.82,82,HEAT
139.0,21.82,82,HEAT
139.53,21.82,82,HEAT
140.05,21.82,82,HEAT
140.58,21.9,82,HEAT
141.1,21.82,82,HEAT
141.63,21.82,82,HEAT
142.15,21.82,82,HEAT
142.68,21.82,82,HEAT
143.21,21.82,82,HEAT
143.73,21.82,82,HEAT
144.26,21.82,82,HEAT
144.78,21.82,82,HEAT
145.31,21.82,82,HEAT
145.83,21.82,82,HEAT
146.36,21.82,82,HEAT
146.88,21.82,82,HEAT
147.41,21.82,82,HEAT
147.94,21.82,82,HEAT
148.46,21.82,82,HEAT
148.99,21.82,82,HEAT
149.51,21.82,82,HEAT
150.04,21.82,82,HEAT
150.56,21.82,82,HEAT
151.09,21.82,82,HEAT
151.62,21.82,82,HEAT
152.14,21.82,82,HEAT
152.67,21.82,82,HEAT
153.19,21.82,82,HEAT
153.72,21.82,82,HEAT
154.24,21.82,82,HEAT
154.77,21.9,82,HEAT
155.29,21.82,82,HEAT
155.82,21.82,82,HEAT
156.35,21.82,82,HEAT
156.87,21.82,82,HEAT
157.4,21.9,82,HEAT
157.92,21.82,82,HEAT
158.45,21.82,82,HEAT
158.97,21.82,82,HEAT
159.5,21.82,82,HEAT
160.02,21.82,82,HEAT
160.55,21.82,82,HEAT
161.08,21.82,82,HEAT
161.6,21.82,82,HEAT
162.13,21.82,82,HEAT
162.65,21.82,82,HEAT
163.18,21.82,82,HEAT
163.7,21.82,82,HEAT
164.23,21.82,82,HEAT
164.75,21.82,82,HEAT
165.28,21.82,82,HEAT
165.81,21.82,82,HEAT
166.33,21.82,82,HEAT
166.86,21.82,82,HEAT
167.38,21.82,82,HEAT
167.91,21.82,82,COOL
168.43,21.82,82,COOL
168.96,21.82,82,COOL
169.49,21.82,82,COOL
170.01,21.82,82,COOL
170.54,21.82,82,COOL
171.06,21.82,82,COOL
171.59,21.82,82,COOL
172.11,21.82,82,COOL
172.64,21.82,82,COOL
173.16,21.82,82,COOL
173.69,21.82,82,COOL
174.22,21.82,82,COOL
174.74,21.82,82,COOL
175.27,21.82,82,COOL
175.79,21.82,82,COOL
176.32,21.82,82,COOL
176.84,21.82,82,COOL
177.37,21.82,82,COOL
177.89,21.82,82,COOL
178.42,21.82,82,COOL
178.95,21.82,82,COOL
179.47,21.82,82,COOL
180.0,21.82,82,COOL
180.52,21.73,82,COOL
181.05,21.82,82,COOL
181.57,21.82,82,COOL
182.1,21.82,82,COOL
182.62,21.82,82,COOL
183.15,21.82,82,COOL
183.68,21.82,82,COOL
184.2,21.82,82,COOL
184.73,21.82,82,COOL
185.25,21.82,82,COOL
185.78,21.82,82,COOL
186.3,21.82,82,COOL
186.83,21.82,82,COOL
187.35,21.82,82,COOL
187.88,21.82,82,COOL
188.41,21.82,82,COOL
188.93,21.73,82,COOL
189.46,21.82,82,COOL
189.98,21.82,82,COOL
190.51,21.82,82,COOL
191.03,21.82,82,COOL
191.56,21.82,82,COOL
192.08,21.82,82,COOL
192.61,21.73,82,COOL
193.13,21.73,82,COOL
193.66,21.9,82,COOL
194.19,21.82,82,COOL
194.71,21.82,82,COOL
195.24,21.82,82,COOL
195.76,21.82,82,COOL
196.29,21.82,82,COOL
196.81,21.82,82,COOL
197.34,21.73,82,COOL
197.87,21.82,82,COOL
198.39,21.82,82,COOL
198.92,21.73,82,COOL
199.44,21.82,82,COOL
199.97,21.82,82,COOL
200.49,21.82,82,COOL
201.02,21.73,82,COOL
201.54,21.82,82,COOL
202.07,21.82,82,COOL
202.6,21.82,82,COOL
203.12,21.73,82,COOL
203.65,21.82,82,COOL
204.17,21.82,82,COOL
204.7,21.82,82,COOL
205.22,21.82,82,COOL
205.75,21.82,82,COOL
206.27,21.82,82,COOL
206.8,21.73,82,COOL
207.33,21.82,82,COOL
207.85,21.82,82,COOL
208.38,21.82,82,COOL
208.9,21.73,82,COOL
209.43,21.73,82,COOL
209.95,21.73,82,COOL
210.48,21.73,82,COOL
211.01,21.82,82,COOL
211.53,21.82,82,COOL
212.06,21.73,82,COOL
212.58,21.82,82,COOL
213.11,21.82,82,COOL
213.63,21.82,82,COOL
214.16,21.82,82,COOL
214.68,21.73,82,COOL
215.21,21.73,82,COOL
215.74,21.82,82,COOL
216.26,21.73,82,COOL
216.79,21.73,82,COOL
217.31,21.82,82,COOL
